,name,avg_voltage,voltage_profile,max_voltage,max_vol_cap,vol_capacity_profile,max_grav_cap,grav_capacity_profile
0,Ca_JVASP-102282_Li2CaAl.json,1.5656664371490479,0.602760910987854;0.42831504344940186;1.6838643550872803;2.80915904045105;1.1661189794540405;1.5882397890090942;2.3872199058532715;1.8596534729003906,2.80915904045105,67.36253951890221,67.3625395189022;67.3625395189022;67.3625395189022;67.36253951890221;67.36253951890221;67.3625395189022;67.3625395189022;67.3625395189022,73.03128405184556,41.39018392885959;44.1209832128054;47.2375757419202;50.8279296819757;55.00895770769872;59.939488689939665;65.8409022400421;73.03128405184556
1,Ca_JVASP-99860_CaMnSb2.json,3.2585790157318115,5.003791809082031;3.8159360885620117;4.385712146759033;2.2612318992614746;3.794854164123535;2.062901496887207;2.4846668243408203;2.259537696838379,5.003791809082031,55.88559722154355,55.88559722154353;55.885597221543534;55.885597221543534;55.885597221543534;55.88559722154355;55.885597221543534;55.885597221543534;55.88559722154352,11.039672826366594,9.896095909488423;10.04474076066143;10.19791916458542;10.355841737849397;10.518732348486589;10.686829174811976;10.860385867434495;11.039672826366594
2,Ca_JVASP-68306_CaMgBe.json,2.099472999572754,1.0985153913497925;0.9182268381118774;0.5382481813430786;1.1261504888534546;1.3403146266937256;1.657731294631958;1.935511827468872;2.411442995071411;3.0229859352111816;0.9133110046386719;3.79177188873291;6.439465522766113,6.439465522766113,53.29777135409464,53.297771354094635;53.297771354094635;53.297771354094635;53.297771354094635;53.29777135409464;53.297771354094635;53.29777135409464;53.297771354094635;53.297771354094635;53.297771354094635;53.297771354094635;53.297771354094635,60.928495126597035,30.430563958443383;31.88131702433883;33.47732186333996;35.24154233310803;37.20205226869161;39.39354056826414;41.85938154444021;44.65453475977301;47.84968980959046;51.5373276637236;55.840818828158156;60.928495126597035
3,Ca_JVASP-71158_CaMnBe2.json,2.7384443283081055,-0.29864728450775146;-0.023959755897521973;0.19298052787780762;3.17582631111145;1.6082196235656738;1.4571547508239746;3.4238481521606445;0.43306636810302734;0.9411847591400146;1.8661339282989502;9.640167713165283;10.445356845855713,10.445356845855713,62.1916225699568,62.19162256995679;62.191622569956785;62.191622569956785;62.191622569956785;62.191622569956785;62.1916225699568;62.191622569956785;62.191622569956785;62.191622569956785;62.19162256995679;62.191622569956785;62.191622569956785,29.271181446221878,19.758038738983974;20.359572103606062;20.998882962784943;21.679645440641497;22.40602607019679;23.182769144340103;24.015300457357505;24.90985423227311;25.87362951350135;26.91498432619322;28.043678688642988;29.271181446221878
4,Ca_JVASP-99492_SrCa3.json,0.45071156819661456,0.028845548629760742;0.011376142501831055;1.6639187335968018;4.295315980911255;0.6833546161651611;1.1661059856414795;1.1543960571289062;1.235361099243164;0.7107658386230469;-0.005836009979248047;-0.35063791275024414;-0.28337669372558594;-0.1097264289855957;0.6160025596618652;0.60569167137146;1.9530575275421143;-0.6742234230041504;-0.7414193153381348;-0.7341060638427734;-0.6911344528198242;0.3607931137084961;-0.8746638298034668;-0.10968279838562012;0.9068996906280518,4.295315980911255,32.36822246355538,32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355538;32.36822246355537;32.36822246355537;32.36822246355536;32.36822246355537;32.36822246355537;32.36822246355537;32.36822246355536;32.36822246355537,36.16748582543825,16.117973049057937;16.516047017053175;16.934281786740375;17.374248742129257;17.837686926703878;18.326526016834247;18.842913179123705;19.389244599967814;19.968202663902396;20.58279999778141;21.236431907014218;21.932939130547055;22.67668336394328;23.472638687699007;24.326502950887786;25.24483438336411;26.235220364758167;27.306487541707444;28.46896561511991;29.73482150231443;31.118486797563495;32.637210404741275;34.31178129895061;36.16748582543825
5,Ca_JVASP-65128_Ca4BeTe.json,0.9548446536064148,1.443437099456787;0.2698993682861328;0.3383352756500244;-0.016138792037963867;-0.2476787567138672;-0.3656954765319824;-0.3455268144607544;-0.3839353322982788;-0.5577199459075928;-0.47021937370300293;0.8913500308990479;0.7132112979888916;1.094470500946045;0.984454870223999;-0.8744003772735596;-0.7656354904174805;1.0808101892471313;0.41104304790496826;0.018134117126464844;0.07511091232299805;0.25067782402038574;0.35979557037353516;1.5969064235687256;1.1420369148254395;0.8828991651535034;0.691250205039978;1.1116888523101807;1.1846942901611328;2.998870372772217;2.6631035804748535;6.878213882446289;7.501585483551025,7.501585483551025,28.46450448623854,28.46450448623853;28.46450448623854;28.464504486238535;28.464504486238532;28.46450448623854;28.464504486238535;28.464504486238535;28.464504486238535;28.46450448623854;28.464504486238535;28.464504486238535;28.464504486238535;28.464504486238535;28.464504486238535;28.46450448623854;28.464504486238535;28.464504486238535;28.464504486238532;28.464504486238532;28.464504486238535;28.464504486238532;28.464504486238535;28.46450448623854;28.46450448623854;28.464504486238535;28.46450448623854;28.464504486238535;28.46450448623854;28.46450448623854;28.464504486238535;28.46450448623854;28.464504486238532,23.655835807542076,11.28296505718382;11.476599999478232;11.676997206127465;11.884517207776153;12.0995466277386;12.32250058599958;12.553825373990534;12.794001436403926;13.043546701966894;13.30302031176684;13.573026801611702;13.854220804268945;14.147312348570951;14.453072845685748;14.77234186880965;15.106034851740294;15.455151854984367;15.82078757618912;16.20414281595705;16.60653765203282;17.029426626390837;17.474416313412032;17.94328571637163;18.438010038104412;18.96078849553106;19.51407700406351;20.100626756533515;20.723529975312086;21.38627444342481;22.092808844873534;22.847621499280688;23.655835807542076
6,Ca_JVASP-64967_CaTiBe2.json,1.0592567920684814,0.14187109470367432;0.22247064113616943;0.3189873695373535;0.6496434211730957;0.36447858810424805;1.084275245666504;1.3046584129333496;4.387669563293457,4.387669563293457,85.65417968787919,85.65417968787919;85.65417968787918;85.65417968787919;85.65417968787916;85.65417968787918;85.65417968787916;85.65417968787919;85.65417968787918,47.251516670653274,31.61465770558828;33.18341896730002;34.91599706841574;36.83946525665108;38.98721027341265;41.40088667813233;44.13314502834388;47.251516670653274
7,K_JVASP-9975_K2CaC2O6.json,3.0398216247558594,3.0933756828308105;3.1080269813537598;2.887643814086914;2.9270801544189453;2.7164177894592285;2.712240695953369;2.508676052093506;2.66780424118042;3.1659369468688965;3.279719829559326;3.4024462699890137;3.6281142234802246;3.125328540802002;3.3486380577087402;3.092285633087158;2.9734110832214355,3.6281142234802246,36.78383023426861,36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.783830234268606;36.78383023426861;36.78383023426861;36.783830234268606;36.783830234268606;36.783830234268606,20.30623393527466,14.059135625554523;14.353520941572729;14.660498235264091;14.980893072972597;15.31560480215453;15.665614982041422;16.031996997343686;16.415927053312927;16.818696789407362;17.241727796542843;17.686588381735667;18.155012996788102;18.64892483834858;19.170462240182967;19.722009621388597;20.30623393527466
8,Ca_JVASP-102235_CaCrN2.json,5.717456817626953,3.3849620819091797;3.2729101181030273;3.4826159477233887;3.42872953414917;3.728196144104004;3.6360788345336914;4.348006248474121;4.283282279968262;3.8260302543640137;3.8907971382141113;4.07470703125;4.024578094482422;5.3300347328186035;5.292967319488525;4.273716449737549;4.274031162261963;4.865119934082031;4.9345598220825195;6.918445110321045;7.155013561248779;8.088557243347168;8.460254669189453;9.3000168800354;9.856424808502197;6.113551616668701;5.928177356719971;7.427934169769287;7.7408833503723145;7.905477523803711;8.103198051452637;5.48712158203125;5.556183815002441;6.497865200042725;6.835041522979736;6.797417640686035;7.305558204650879,9.856424808502197,24.946018968621107,24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621107;24.946018968621107;24.946018968621104;24.946018968621104;24.946018968621104;24.946018968621104;24.946018968621107;24.946018968621107;24.946018968621104;24.946018968621104,9.177269489015659,6.199526123569877;6.257536964382366;6.316643709868813;6.376877710882423;6.438271525606115;6.500858978235723;6.564675221119624;6.6297568005946435;6.696141726777317;6.7638695475905575;6.832981427328659;6.903520230088595;6.9755306084229325;7.049059097599641;7.124154215886919;7.200866571317178;7.279248975423873;7.359356564488319;7.441246928881467;7.524980251138262;7.610619453460258;7.698230355406246;7.787881842601401;7.879646047373786;7.973598542313701;8.069818547847499;8.168389155024139;8.269397564831305;8.372935345489802;8.479098709321908;8.58798881095328;8.699712068791154;8.814380511926418;8.932112154836641;9.053031402524544;9.177269489015659
9,Ca_JVASP-73645_CaBe2Ge.json,1.7395257949829102,0.5312619209289551;0.7116641998291016;1.484731674194336;2.8934288024902344;2.1167306900024414;1.3657221794128418;1.5933246612548828;3.2193422317504883,3.2193422317504883,91.49579416358235,91.49579416358235;91.49579416358233;91.49579416358233;91.49579416358232;91.49579416358233;91.49579416358232;91.49579416358232;91.49579416358233,35.01663125031802,25.624327629098772;26.64531551168489;27.751041179232534;28.952510690697412;30.262722369835924;31.697138959964875;33.274300737394114;35.01663125031802
