Unnamed: 0,name,avg_voltage,voltage_profile,max_voltage,max_vol_cap,vol_capacity_profile,max_grav_cap,grav_capacity_profile,jid,ehull,optb88vdw_bandgap,formula,atoms,score
3733,Li_JVASP-11785_LiMnBO3.json,4.010639429092407,3.5140397548675537;3.2778241634368896;4.061405897140503;3.7036874294281006;3.5839922428131104;4.24280571937561;4.4577476978302;4.009923219680786;5.244328737258911,5.244328737258911,81.50181415031182,81.50181415031182;81.5018141503118;81.5018141503118;81.5018141503118;81.5018141503118;81.50181415031179;81.5018141503118;81.5018141503118;81.50181415031179,26.004036254503085,24.674667971655317;24.83335813777927;24.994102684032317;25.15694176389075;25.321916584108735;25.48906943948237;25.6584437489997;25.830084093441805;26.004036254503085,JVASP-11785,0.0413,1.63,LiMnBO3,"{'lattice_mat': [[4.095202783131373, -7.09309949763953, -0.0], [4.095202813597675, 7.093099480049807, -0.0], [-0.0, -0.0, 3.1331302278033744]], 'coords': [[2.395356748762634, 0.10379757784026636, 1.566565], [2.9874087995615572, 4.966766890494633, 1.566565], [6.902834451675809, 2.0225497178650613, 1.566565], [5.53093777026083, -4.467033005058921, 0.0], [1.5563700705484513, -2.556419849570152, 0.0], [5.19829215919072, -0.06964714537082232, 0.0], [0.0, 0.0, 0.0], [4.0952, -2.364371395399955, 1.566565], [4.0952, 2.364371395399955, 1.566565], [5.229958916362377, -1.5611313483660127, 1.566565], [5.265897785343812, 3.1052554968293027, 1.566565], [2.8682230595182325, 3.007777064686327, 1.566565], [4.151479155137957, 0.9800674384843735, 1.566565], [3.9527469398159942, 5.70896958115106, 0.0], [1.2699176999478112, 0.568697144227649, 0.0], [7.062935360236197, 0.8154332746211896, 0.0], [4.2234421900762, -3.748715141118991, 1.566565], [2.8321988935614226, -1.7832535105151, 1.566565]], 'elements': ['Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'B', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [8.190405, 8.190405, 3.13313], 'angles': [90.0, 90.0, 120.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.03462296341004384
2160,Li_JVASP-119331_Li2Mn7F16.json,3.347644805908203,2.901623487472534;3.793666124343872,3.793666124343872,144.96064024019404,144.96064024019404;144.96064024019404,38.536569416550016,38.155769788190426;38.536569416550016,JVASP-119331,0.0275,1.711,Li2Mn7F16,"{'lattice_mat': [[6.008450049683555, -0.0200721712375381, 7.176192718163416], [2.5936993505650525, 5.419833836977338, 7.176192700747112], [-0.0319761662137806, -0.0200721249158973, 9.359390502802507]], 'coords': [[5.781855431333869, 3.629401732450173, 15.997118629020756], [2.7883145686661304, 1.7502882675498266, 7.714651370979235], [0.0, 0.0, 0.0], [1.9169044290331654, 2.597166699815169, 11.146718216167995], [3.774098998617527, 1.417975281116856, 13.91525931551246], [3.882774453665562, 4.782300103203681, 13.11268707771973], [4.687395546334436, 0.5973898967963175, 10.599082922280266], [4.796071001382474, 3.9617147188831443, 9.796510684487547], [6.653265570966831, 2.7825233001848315, 12.565051783832004], [6.020649227507617, 2.1517125874309087, 10.462410415492448], [5.737073851327834, 4.460101355551474, 11.817735738778152], [4.366909590204939, 4.381079245390939, 7.8228459096913525], [4.66000600817002, -0.4241157480795828, 8.807107953713968], [5.383438189861585, 0.8929107370392863, 12.754870165172207], [3.4539807162046032, 2.168141999418768, 9.556402769998272], [5.116189283795398, 3.2115480005812325, 14.15536723000173], [2.833096148672166, 0.9195886444485237, 11.894034261221845], [1.316463991829977, 0.38397574807958224, 7.728472046286026], [4.23524040979506, 1.0186807546090595, 6.529534090308647], [2.0536243046436216, 3.3713807436934533, 6.784260826223474], [2.54952077249238, 3.2279774125690928, 13.24935958450755], [0.508095695356377, 2.0283792563065446, 9.751319173776524], [6.677991574509809, 4.191926705476633, 18.47652966936379], [3.186731810138417, 4.486779262960717, 10.9568998348278], [1.89217842549019, 1.1877632945233667, 5.235240330636205]], 'elements': ['Li', 'Li', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'], 'abc': [9.359465, 9.359463, 9.359466], 'angles': [40.1343, 40.1343, 40.1342], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.0380937083023499
6345,Li_JVASP-147483_Li4MnCo2O7.json,4.156692266464233,3.8695623874664307;4.422326326370239;3.186022996902466;3.315279245376587;3.040443181991577;3.330975294113159;4.600304365158081;4.5475804805755615;3.9477522373199463;4.338209390640259;3.7384564876556396;3.956719160079956;4.805376291275024;4.607323884963989;5.48793625831604;5.312808275222778,5.48793625831604,96.79952635604964,96.79952635604958;96.7995263560496;96.79952635604958;96.7995263560496;96.79952635604961;96.7995263560496;96.79952635604963;96.7995263560496;96.7995263560496;96.7995263560496;96.79952635604961;96.7995263560496;96.7995263560496;96.79952635604958;96.79952635604961;96.79952635604958,23.384085710283937,21.436778716150226;21.556452787946327;21.677470558495067;21.799854786106778;21.923628745955053;22.048816244833695;22.175441636421983;22.303529837079147;22.43310634218931;22.564197243079523;22.69682924453453;22.83102968293278;22.966826545029804;23.10424848741579;23.24332485667606;23.384085710283937,JVASP-147483,0.0454,0.0,Li4MnCo2O7,"{'lattice_mat': [[14.220452473894563, -0.0200233716157159, 1.6189871527087651], [13.941486964892492, 2.8029646279319045, 1.6189871527087654], [-0.0021264721693409, -0.0002101363488594, 5.72697766585228]], 'coords': [[16.148410060555374, 1.5957728516037386, 3.1177429130584007], [20.012840753776498, 1.9776529534789395, 5.979156484166843], [24.20548821135316, 2.391966689246615, 3.211592089014523], [3.8267950606873296, 0.37816122047169504, 5.705956238793601], [8.009420406157734, 0.7914845829218611, 2.980323191545365], [12.087249433475016, 1.1944525344349892, 5.864738747148203], [0.24055206210307506, 0.023771402232171824, 2.899771925613383], [16.131059071500392, 1.5940584755299223, 5.886227109196556], [0.0719893034632262, 0.007114406663074192, 5.704716387803573], [8.035063479479204, 0.7940188528468652, 5.845081518834868], [20.113200958260524, 1.9875702254879486, 3.135142346948466], [24.124821984070866, 2.3839955591272495, 6.047055119101804], [3.985767906765078, 0.39387055172013696, 2.9357817472345866], [12.057229125138141, 1.1914857124378675, 3.0317362562102788], [14.041377221393724, 1.387557849085049, 6.046949751705202], [13.963193866488956, 1.3798315721263046, 2.949937794751825], [18.11517700895154, 1.7901273716771042, 5.827596857852899], [22.094474108680433, 2.183358001748588, 3.0720926814565126], [1.8329979973444743, 0.18113584210090838, 5.776734640119536], [5.967061680234682, 0.5896603598866629, 2.8013063567327796], [9.965714989428132, 0.9848042384605535, 5.760640759329034], [26.01607099051693, 2.5708872205014637, 5.9474680562669535], [18.233256656846674, 1.8017956845283483, 3.2202027604676347], [22.166752019140986, 2.190500703787027, 6.124666756440252], [26.201693043114254, 2.5892300184450048, 3.3432085627821424], [6.138842707468873, 0.6066358829420149, 5.9121775854432554], [10.126970519492911, 1.0007391548674425, 3.13464427214371], [2.1608080523615874, 0.21352951597043396, 2.8722888868977248]], 'elements': ['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [14.312328, 14.312332, 5.72698], 'angles': [83.5262, 83.5262, 11.3748], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.040522949946635634
1403,Li_JVASP-44725_LiFePO4.json,3.9729039669036865,3.9789578914642334;3.9695680141448975;3.8883635997772217;3.9085662364959717;4.094689607620239;3.747981309890747;4.0764100551605225;4.118695020675659,4.118695020675659,64.99323608501446,64.99323608501446;64.99323608501444;64.99323608501446;64.99323608501446;64.99323608501446;64.99323608501446;64.99323608501446;64.99323608501444,22.086610698984913,21.236315869296096;21.35375604676352;21.47250237286167;21.592576759567958;21.714001611743768;21.836799841071354;21.960994880466348;22.086610698984913,JVASP-44725,0.0405,0.03,LiFePO4,"{'lattice_mat': [[4.94510369260252, 0.0372063573683911, -0.0522050748277717], [2.3912127018167815, 4.328782889666014, -0.0617979108150178], [2.298611345738056, 1.3861721615509026, 7.994706183459408]], 'coords': [[4.681478861978771, 3.1740706646338888, 3.895312721241291], [4.892032632334026, 5.444429227784611, 7.8894622823717615], [7.371393692958872, 4.031938228342186, 5.917130662171787], [2.2348585633313642, 1.6916489963104155, 1.9753670768045586], [4.9105788023936485, 2.6003324846916462, 6.943556274754341], [7.137283416893725, 4.580779228041165, 2.8881177542616627], [5.823469887228733, 1.3620071467874997, 6.747507920673675], [5.811622836460351, 3.8457657177248556, 7.172464390110712], [4.0169583757733385, 2.79800152256531, 5.687575279713399], [6.534096744413727, 3.828896221736759, 4.1089440566601745], [4.093560042727283, 1.644391172529166, 2.74782909802014], [3.7161869445961706, 4.742147227930065, 3.1711012964252556], [6.886759729463667, 3.6967420096538883, 1.6347488355044406], [1.660656220706322, 1.0466416113985195, 0.16807759173686918]], 'elements': ['Li', 'Li', 'Fe', 'Fe', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [4.945516, 4.945709, 8.433295], 'angles': [74.7042, 74.7062, 60.6483], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.05364217741074112
7319,Li_JVASP-46829_LiV2OF5.json,3.2406961917877197,3.003516912460327;3.1075007915496826;3.31081223487854;3.2872965335845947;3.31396746635437;3.4210832118988037,3.4210832118988037,77.0635246253254,77.06352462532539;77.06352462532539;77.0635246253254;77.06352462532539;77.06352462532539;77.0635246253254,20.870380255681223,20.321202404590153;20.428713594081763;20.537368429802356;20.64718525756891;20.758182817700828;20.870380255681223,JVASP-46829,0.0229,0.526,LiV2OF5,"{'lattice_mat': [[4.522744509035783, -0.0221063479197627, -0.0021879548903947], [0.2230541019334732, 8.54799486441869, 0.0016090876610441], [0.1202033232784567, 4.271134628423887, 7.468862717720309]], 'coords': [[2.37729895931754, 4.265322359430922, 2.4997260415426097], [0.015707984292767787, 0.003538160566002737, 0.0013491750906855714], [2.452197262440453, 8.519059800352018, 4.986721523830524], [2.4810381691654935, 5.543162210373486, 5.151131620001048], [2.580538266107784, 9.830701874479914, 2.4742062987732627], [4.544426733158912, 2.8494767639715977, 4.961491261105032], [2.475548990117608, 5.711433617171999, 0.0686354898285829], [4.53917195884043, 3.01112660534792, 0.08111437179014493], [4.64624504506034, 7.138238998137135, 2.6526318371715165], [3.493005451621409, 4.348378950942084, 0.647837024470453], [3.5672830209856534, 8.490463625470525, 3.1375410036646723], [3.5572096955182926, 4.202128574314867, 5.629266997284216], [1.3607106591340279, 7.02313680718693, 4.230978036456173], [3.5742164506523126, 9.979249222591749, 5.760300049869856], [3.5381152327943224, 7.095325027405353, 5.847754788336881], [1.2169188356766574, 5.755749451557906, 6.68274887272705], [1.3981437862947788, 9.966887462712055, 4.0862248314993765], [3.498464916767471, 5.665163383703376, 3.3882287483388605], [1.2885886753761375, 2.826438575918607, 1.6279923726878383], [1.3073111797750003, 4.22797010955553, 4.164870152979128], [1.3310222912303697, 5.773887712915497, 1.7100067337859557], [3.6661194823661543, 7.113751626040966, 0.8569261220724256], [3.4609768139702926, 2.7814390515838814, 3.2405810634792735], [1.3780915467832404, 8.619489688483137, 6.65143808669563], [3.4761054261655855, 1.4505206902261454, 0.790466076337545], [1.2961210475511244, 8.504635689036125, 1.6722482527417033], [1.4011855587457873, 11.359731875364291, 6.612316347519512]], 'elements': ['Li', 'Li', 'Li', 'V', 'V', 'V', 'V', 'V', 'V', 'O', 'O', 'O', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'], 'abc': [4.522795, 8.5509, 8.6047], 'angles': [60.2161, 89.3627, 88.7854], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.10288230583813882
665,Li_JVASP-2826_NaLiS.json,3.1334168910980225,1.7197248935699463;1.5681531429290771;1.579554557800293;1.6025066375732422;2.052802085876465;2.273375988006592;5.157179594039917;5.170234441757202;4.674072265625;4.465631484985352;4.714062690734863;4.474666595458984;2.778528928756714;2.9148337841033936;2.4088701009750366;2.5804730653762817,5.170234441757202,53.38075059424624,53.38075059424624;53.38075059424624;53.380750594246244;53.380750594246244;53.380750594246244;53.380750594246244;53.380750594246244;53.38075059424624;53.38075059424624;53.38075059424624;53.38075059424623;53.38075059424624;53.38075059424623;53.38075059424624;53.38075059424623;53.38075059424624,30.18805908052971,27.01946607846729;27.20986584386222;27.402968056687822;27.59883066414154;27.797513282056876;27.99907725540103;28.203585721423853;28.411103675594664;28.621698040471525;28.835437737656342;29.05239376299826;29.27263926521777;29.496249628134382;29.723302556692133;29.953878166989032;30.18805908052971,JVASP-2826,0.0252,3.34,NaLiS,"{'lattice_mat': [[4.0055472041706075, 0.0, 0.0], [0.0, 4.0055472041706075, 0.0], [0.0, 0.0, 6.495466145132312]], 'coords': [[2.002775, 0.0, 4.212583371308603], [0.0, 2.002775, 2.2828866286913985], [2.002775, 2.002775, 0.0], [0.0, 0.0, 0.0], [2.002775, 0.0, 1.4066142063356615], [0.0, 2.002775, 5.088855793664339]], 'elements': ['Na', 'Na', 'Li', 'Li', 'S', 'S'], 'abc': [4.00555, 4.00555, 6.49547], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '']}",-0.10462103304368348
2518,Li_JVASP-96515_LiTiMnF6.json,3.027599573135376,2.8562729358673096;3.217801332473755;3.1540071964263916;3.1875898838043213;2.8999416828155518;2.8499844074249268,3.217801332473755,71.00338946043885,71.00338946043885;71.00338946043885;71.00338946043885;71.00338946043884;71.00338946043885;71.00338946043884,20.49491384463163,19.9650672775099;20.068833535181078;20.1736840557835;20.279635922912075;20.386706580947614;20.49491384463163,JVASP-96515,0.0207,0.025,LiTiMnF6,"{'lattice_mat': [[8.762014017276494, 9.926139e-09, -0.0], [-4.3810074913803, 7.588127107073842, 0.0], [-0.0, 0.0, 4.713686238902374]], 'coords': [[0.0, 0.0, 0.0], [-7.714339957609605e-06, 5.058755862709975, 2.3433392553746355], [4.381007714339958, 2.529374137290024, 2.370350744625364], [-1.364422168015621, 2.36324792360282, 2.356845], [3.016580946384172, 5.224882076396512, 2.356845], [2.7288412216314506, 6.654790009999999e-13, 2.356845], [5.633324476877752, 3.497369117e-12, 0.0], [1.5643409761883456, 2.709523554366793, 0.0], [-2.816665453066095, 4.878606445629709, 0.0], [4.383359487635222, 5.9165432868350685, 1.119764036334247], [1.446455524977706, 0.8378357807495864, 1.119764036334247], [5.856821902355954, 1.6569557946598235, 3.428152350309912], [4.398635553349217, 4.243676526075683, 3.428152350309912], [2.8875656873148925, 1.6874900911344601, 3.428152350309912], [-1.4934508508389586, 5.900639908864738, 1.285537649690087], [4.184793941513624, 0.8438428056505988, 1.2723362459617724], [5.9388263659801765, 3.2022125782424298, 1.2723362459617724], [-1.3616112585843165, 4.046062972010518, 3.441349040348241], [-0.19622370842642686, 6.744287194350846, 3.441349040348241], [3.0194028355262543, 3.5420670279769375, 1.2723362459617724], [2.932186086141773, 6.754379067589903, 3.5939259636657503], [1.4758053239614746, 5.931174205341599, 1.285537649690087], [0.002357284734938655, 1.6715867131605073, 3.5939259636657503], [7.313194987387071, 0.8337509324153469, 1.119764036334247], [-2.9345533708767135, 6.7502942192495885, 3.5939259636657503], [0.017622383857424977, 3.344453473923697, 1.285537649690087], [1.5578118239906833, 4.385917421768668, 3.441349040348241]], 'elements': ['Li', 'Li', 'Li', 'Ti', 'Ti', 'Ti', 'Mn', 'Mn', 'Mn', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'], 'abc': [8.76201, 8.762018, 4.71369], 'angles': [90.0, 90.0, 120.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.13726091950354954
7138,Li_JVASP-48920_LiV2OF5.json,3.2338993549346924,3.2706663608551025;3.3810369968414307;2.9671237468719482;3.110450506210327;3.265665292739868;3.4084532260894775,3.4084532260894775,77.24630753831605,77.24630753831603;77.24630753831605;77.24630753831605;77.24630753831605;77.24630753831603;77.24630753831605,20.870380255681223,20.321202404590153;20.428713594081763;20.537368429802356;20.64718525756891;20.758182817700828;20.870380255681223,JVASP-48920,0.029,0.349,LiV2OF5,"{'lattice_mat': [[4.516937531595123, -0.0001342674289505, -8.33417006957e-05], [0.0002495433432149, 8.58141875493696, 2.1759567823e-05], [0.0002679152220765, 4.290650643772586, 7.431856505580923]], 'coords': [[2.2638104381136115, 8.5813236867643, 4.954524749315922], [4.451970129085072, 4.290537502438072, 7.431741721104021], [2.133546644217402, 4.29064970832938, 2.477232126079444], [2.3501531666073725, 6.959421596907899, 7.371671865822151], [2.350066888017368, 7.299007024246519, 2.341322124297373], [4.465907770571548, 5.774021675653562, 4.957522147371231], [2.3502452817585247, 11.485559417332057, 5.150562715908538], [4.465999728336996, 9.98228665141411, 2.521777928631078], [4.466086099238917, 9.987500924464713, 7.3841510118126585], [3.442757208797132, 8.635855914732335, 1.8468233586331178], [3.442923189750443, 11.24529174827034, 6.555571729720438], [3.442769420799618, 5.862738698289978, 6.46108218365577], [1.166469645636131, 4.204310077635698, 0.7238350188806351], [3.325778272882318, 4.322256784281285, 4.1294450131889375], [1.0833390718646825, 1.4178172975614722, 0.8486608163508962], [3.3256888560754003, 2.8439167960202747, 1.6785045777809153], [1.166562150529146, 5.852320525660996, 3.2791487877045857], [3.325771029847028, 5.705650594887898, 1.6236669297287551], [3.3618411462733575, 10.045211065947257, 4.189814183664517], [1.0835101541428647, 7.1374950196384175, 0.8035223870986106], [1.1937577053329327, 7.143498654292227, 5.745981226948577], [1.1938334286535566, 9.985678461627726, 5.804060425910392], [3.361760973505081, 7.187129230842203, 4.069032421969011], [1.1664824937624603, 2.8153862846395934, 3.4287533700855453], [1.1937541498542688, 8.614910429571793, 3.3135661055728884], [3.361837726361885, 8.511557566286381, 6.604641246866533], [1.0835198120848963, 4.316715029623599, 5.779543482257369]], 'elements': ['Li', 'Li', 'Li', 'V', 'V', 'V', 'V', 'V', 'V', 'O', 'O', 'O', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'], 'abc': [4.51694, 8.58142, 8.581505], 'angles': [60.0007, 89.9999, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",-0.14607587028642247
6758,Li_JVASP-47509_LiFePO4.json,3.682451486587525,3.6285407543182373;3.603195905685425;3.667764902114868;3.545367479324341;3.586466073989868;3.7191717624664307;3.770906686782837;3.9381983280181885,3.938198328018189,65.25396889260607,65.25396889260607;65.25396889260605;65.25396889260607;65.25396889260605;65.25396889260605;65.25396889260605;65.25396889260605;65.25396889260605,22.086610698984913,21.236315869296096;21.35375604676352;21.47250237286167;21.592576759567958;21.714001611743768;21.836799841071354;21.960994880466348;22.086610698984913,JVASP-47509,0.0475,0.0,LiFePO4,"{'lattice_mat': [[3.26559902e-08, 4.816762482554278, 2.4338837e-09], [2.4083812249491507, -2.408380279015569, 3.6745257629346484], [4.816762482554276, -3.26559902e-08, 1e-16]], 'coords': [[2.40838, 2.40838, 0.0], [0.0, 0.0, 0.0], [4.81676, 2.40838, 1.837265], [0.9145651849629507, 1.5155961347946274, 0.953608975046923], [3.9239761347896227, 1.4938148150320443, 2.7209210249581557], [3.902194815037049, 3.30116386521535, 0.9536089750446466], [5.709543865210343, -1.4938148150420545, 2.7209210249502753]], 'elements': ['Li', 'Fe', 'P', 'O', 'O', 'O', 'O'], 'abc': [4.81676, 5.010265, 4.81676], 'angles': [61.2696, 90.0, 118.7304], 'cartesian': True, 'props': ['', '', '', '', '', '', '']}",-0.16670603831146188
107,Li_JVASP-8563_LiI.json,3.0465614795684814,1.3919613361358643;1.6542272567749023;2.7898250818252563;4.961209416389465;3.964510202407837;3.994924306869507;4.499505043029785;1.1163291931152344,4.961209416389465,104.93832536716246,104.93832536716246;104.93832536716242;104.93832536716246;104.93832536716245;104.93832536716245;104.93832536716243;104.93832536716245;104.93832536716243,26.220006568248635,25.030246971667317;25.1935588980171;25.359015904590038;25.526660533791556;25.696536460479255;25.868688529896804;26.04316279714297;26.220006568248635,JVASP-8563,0.045,4.581,LiI,"{'lattice_mat': [[3.651717018622235, -2.1162673e-09, 2.108319902805792], [1.2172390042121757, 3.4428719126937897, 2.1083199028057917], [-5.9857065e-09, -4.2325337e-09, 4.21663882634668]], 'coords': [[0.0, 0.0, 0.0], [2.43448, 1.721435, 4.21664]], 'elements': ['Li', 'I'], 'abc': [4.216642, 4.216639, 4.21664], 'angles': [60.0, 60.0, 60.0], 'cartesian': True, 'props': ['', '']}",-0.27559220250437644
