jid,formula,max_voltage,voltages
JVASP-64427,Ba4MgBi,-1.798324765765381,[-1.798324765765381]
JVASP-97732,LaMgSi2,0.5058785061004638,[-1.872297229373169, 0.5058785061004638, -1.9336292167541504, -0.5097252746459962]
JVASP-64783,Ba4MgGe,-1.5938742776748658,[-1.5938742776748658]
JVASP-64515,Ba4MgIn,-1.6536180396911622,[-1.6536180396911622]
JVASP-63957,Ba4MgTc,-1.5520567317840577,[-1.5520567317840577]
JVASP-92194,Mg6ZnFe,-1.0050091167327881,[-1.7070418020126343, -1.620101275050354, -1.7875861545440674, -1.0050091167327881, -1.415291966998291, -1.7770249267456055]
JVASP-91890,LaMg7,-0.2756044288513184,[-1.8538729568359376, -1.6240441223022462, -0.6259548087951661, -2.1304819007751465, -1.9598771949645997, -0.2756044288513184, -3.162662686907959]
JVASP-86678,NdMgSi2,0.47597938576965326,[-1.8315908332702637, -1.8397581001159669, 0.47597938576965326, -0.760394038760376]
JVASP-85665,Ba2MgH6,1.3432503322723388,[1.3432503322723388]
JVASP-65023,Mg4BeRu,0.1615155319335937,[-1.9794861694213868, -0.9007405658599854, 0.1615155319335937, -1.4213768859741212]
JVASP-97624,Mg9Si5,2.986163316166687,[-1.447478475177002, -1.5695926566955567, -1.3298957963821412, -0.5830407758590699, -1.0378400703308106, -0.13141530951232916, 0.03522866765289301, -0.012003960215759335, 0.39382296601562494, 0.970551309979248, 0.23485308686523432, -0.1728798766967774, 0.2064982036712646, -0.01753443678588873, -0.2773887534973145, 1.5179362873199462, 0.12089329758911127, 2.986163316166687]
JVASP-64189,Ba4MgBe,-1.5399212261077881,[-1.5399212261077881]
JVASP-92195,CeMg6Zn,-0.5254980941650391,[-1.9333125968811036, -1.887290896975708, -1.2797383685943604, -0.5254980941650391, -1.7689370532867432, -2.367085876071167]
JVASP-90582,Mg3Sb,0.550441561138916,[-2.320739211642456, -1.790833892428589, -1.7039648314353943, -1.1518638153907776, 0.550441561138916, -0.2708722968933106]
JVASP-3177,MgBe2N2,2.2379668335083007,[2.2379668335083007]
JVASP-89041,BaMg2V2O8,8.852631388104248,[1.827947435772705, 2.1707742790344238, 6.2657726387145996, 8.852631388104248, 7.318257151043701, 5.5983484367492675, 4.76496058503418, 5.907643614208984]
JVASP-64331,Ba4MgTe,-2.0380569120285035,[-2.0380569120285035]
JVASP-92200,CeMg6Cu,-0.8213371654388428,[-2.0890581031677247, -1.9503738304016114, -1.1483766456481934, -1.1659757514831544, -0.8213371654388428, -2.5658754726287842]
JVASP-98811,Mg5Si6,0.5311163047912597,[-2.2137126346466065, -2.0672184844848633, -1.6839839835998536, -1.5745694061157227, -0.9303893466827393, -0.8786153217193604, -0.44858330687255865, 0.17861300507812494, -0.5098344703552247, 0.5311163047912597]
JVASP-65108,MgBe2Cl,-0.8681035657760621,[-0.8681035657760621]
JVASP-64738,Ba4MgSc,-1.3109350820419312,[-1.3109350820419312]
JVASP-90585,LiMg3,-1.616328539454651,[-2.055531920993042, -1.681341590487671, -1.7072964330551148, -1.616328539454651, -1.6801974197265626, -2.139851750933838]
JVASP-64683,Ba4MgP,-1.649703087413025,[-1.649703087413025]
