jid,formula,max_voltage,voltages
JVASP-99546,Ba2ZnMoO6,-3.29723689095459,[-3.29723689095459]
JVASP-99503,Sr2ZnP2,-2.473921151322937,[-2.473921151322937]
JVASP-15791,SrZn2Ge2,-2.8893581344314576,[-4.206654043359375, -2.8893581344314576]
JVASP-18627,BaZnBi2,-2.9237231327720643,[-4.169829399747467, -2.9237231327720643]
JVASP-101409,Na3Zn,-4.049562902612305,[-4.049562902612305]
JVASP-1636,LiZnAs,-1.9844091846176148,[-1.9844091846176148]
JVASP-101224,CaZnAg,-3.6363265229888917,[-3.700233907861328, -3.6363265229888917]
JVASP-101706,Li2MgZn,-2.7909443093963624,[-2.7909443093963624]
JVASP-101005,NaZn3,-3.949886293572998,[-3.949886293572998, -4.118526430291748, -3.983875246209717, -4.2847165776916505, -4.030243368310547, -4.339299650354004]
JVASP-101114,Sr2Zn5Si3,-1.9331943704315186,[-4.095207305116272, -4.164169163865662, -2.5132415010162354, -1.9331943704315186, -3.2351863099761964]
JVASP-102291,Sr2TlZn,-3.4925458146759034,[-3.4925458146759034]
JVASP-100564,BaSrZnWO6,-2.342167825860596,[-2.342167825860596]
JVASP-101115,Sr5ZnCd4,-3.405297489328003,[-3.405297489328003]
JVASP-106233,CaYZn2,-2.2374106361099244,[-2.9521842910476686, -2.2374106361099244]
JVASP-21539,SrZnF4,4.0764212892822265,[4.0764212892822265, 3.7137127207092284]
JVASP-3003,CaZn2P2,-2.0078420354553224,[-2.470381112260437, -2.0078420354553224]
JVASP-100710,Ca2ZnIn,-3.3470390750595094,[-3.3470390750595094]
JVASP-101389,Ba2ZnHg,-3.3311178399749757,[-3.3311178399749757]
JVASP-18630,BaZn2,-3.2473916722961427,[-3.8777529908843995, -3.579402656716919, -3.2473916722961427, -3.496883363885498]
JVASP-3009,CaZn2As2,-2.2717132283874513,[-3.1552563025184632, -2.2717132283874513]
JVASP-103083,KBaLiZnF6,3.4458174989990233,[3.4458174989990233]
JVASP-49772,LiZnO2,0.7452349947265624,[0.7452349947265624]
JVASP-102552,SrZnO3,1.4420635984710692,[1.4420635984710692]
JVASP-102854,CaZn,-3.7967025949188233,[-3.7967025949188233]
JVASP-106548,LiAlZn2,-2.935552091760254,[-3.704052896661377, -2.935552091760254]
JVASP-2946,Sr2ZnN2,-0.7747113420196534,[-0.7747113420196534]
JVASP-3021,K2ZnF4,4.563155441122436,[4.563155441122436]
JVASP-16163,SrZnSi,-2.509253115815735,[-2.509253115815735, -2.695877165956116]
JVASP-2565,KZnP,-1.7956927730270387,[-1.7956927730270387, -1.8985101892181397]
JVASP-102460,Ca2TlZn,-3.302636118096924,[-3.302636118096924]
JVASP-2949,Ba2ZnN2,-1.5811974717803956,[-1.5811974717803956]
JVASP-106671,Ba2PuZnO6,-2.1798443509765626,[-2.1798443509765626]
JVASP-2478,KZnF3,4.436498074369812,[4.436498074369812]
JVASP-102465,CaCeZn2,-2.3455495549865724,[-2.3455495549865724, -3.051449628038025]
JVASP-102432,K2ZnS2,1.0635216520599364,[-1.832442493600464, 1.0635216520599364]
JVASP-104584,K3Zn,-4.295721025628662,[-4.295721025628662]
JVASP-15805,BaZn2P2,-0.982725114984131,[-3.44099328057251, -0.982725114984131]
JVASP-105217,Na3Zn,-4.064198227090454,[-4.064198227090454]
JVASP-105438,Na2Zn3GeAs4,-1.8081063939758302,[-3.532954425973511, -1.9929938031860353, -1.8081063939758302]
JVASP-18568,CaAl2Zn2,-2.989669532937622,[-3.705699772996521, -2.989669532937622]
JVASP-15806,CaZn2Sb2,-2.8844135715194703,[-3.532044143838501, -2.8844135715194703]
JVASP-102672,SrZnIn3,-4.023665399713135,[-4.023665399713135]
JVASP-107461,LiZnCd2,-3.7129578305908204,[-3.7129578305908204]
JVASP-104971,BeZn3O4,3.840969829397583,[1.8711695955566405, 1.5080333040527343, 3.840969829397583]
JVASP-15807,SrZn2Sb2,-3.0923332883544923,[-3.1459634615608216, -3.0923332883544923]
JVASP-2385,NaZnP,-0.9894034578033448,[-3.2537088109680177, -0.9894034578033448]
JVASP-107577,Ca2Zn3Ga,-2.9641012860961915,[-3.6574600650497437, -3.1704369498916627, -2.9641012860961915]
JVASP-104927,Sr2ZnAs2,-2.949135036630249,[-2.949135036630249]
JVASP-102734,KLiZn3O4,1.6067385958007812,[0.8122477815917968, 1.051447419958496, 1.6067385958007812]
JVASP-104559,Ba2ZnIn,-3.360444040460205,[-3.360444040460205]
JVASP-105546,BeZnS2,-0.9476587487884522,[-0.9476587487884522]
JVASP-102739,K2Zn3GeAs4,-1.988577337426758,[-3.6693267537780763, -2.67722317711792, -1.988577337426758]
JVASP-105255,Sr2ZnHg,-3.16049429909668,[-3.16049429909668]
JVASP-107529,Rb2Zn3GeAs4,-2.0553456260391236,[-4.114878268403626, -2.708405823869324, -2.0553456260391236]
JVASP-18646,CaZn,-3.1992315961547853,[-3.3967518521972657, -3.1992315961547853]
JVASP-107265,ZnGeP2,-1.911551208657837,[-1.911551208657837]
JVASP-107165,CaTmZn2,-2.5722129060455323,[-2.5722129060455323, -3.0877179815002442]
JVASP-52914,Rb2ZnH4,0.21469834311523428,[-0.057371111077880954, -0.546746463937378, -0.28131076828918467, 0.21469834311523428]
JVASP-106541,K3Zn,-4.148076028985596,[-4.148076028985596]
JVASP-104995,ZnBi3,-4.504256816072083,[-4.504256816072083]
JVASP-3075,LiZnSb,-2.166209788484192,[-3.670054168862915, -2.166209788484192]
JVASP-1687,LiZnP,-1.3852481557556153,[-1.3852481557556153]
JVASP-51747,K3ZnH5,-0.12352725998840342,[-0.49823042885742197, -0.12352725998840342]
JVASP-7640,KZnSb,-2.596429677171326,[-2.596429677171326]
JVASP-58223,BaMn4ZnO8,-1.1897721006103517,[-1.1897721006103517]
JVASP-2871,Ca2ZnN2,-0.7228314592071534,[-0.7228314592071534]
JVASP-15344,NaZnSb,-1.7188483192153932,[-3.7689054919906617, -1.7188483192153932]
JVASP-8137,Ba2ZnF6,4.417159347372436,[4.417159347372436]
JVASP-18816,BaZnSi,-2.7805393649765016,[-2.7805393649765016, -2.930984587831116]
JVASP-8141,SrZn2As2,-2.468843312425232,[-2.6852647973724366, -2.468843312425232]
JVASP-18818,CaZnSn,-3.1183328344055177,[-3.536133260888672, -3.1183328344055177]
JVASP-19072,NaZnF3,6.854399828749084,[3.9427936361602782, 3.9276111410430907, 2.1011423157028197, 6.854399828749084]
JVASP-7812,KZnAs,-2.2168688489624024,[-2.2168688489624024]
JVASP-44654,LiZnFe10O16,-3.076151342553711,[-3.076151342553711]
JVASP-27530,Na6ZnS4,-0.04013690487823496,[-0.3058618022628785, -0.04013690487823496]
JVASP-8368,Sr2ZnCu2S2O2,-1.102499933404541,[-1.102499933404541]
JVASP-12468,Li2ZnCl4,1.617704777555847,[1.617704777555847, 0.37936201556243887]
JVASP-13427,Sr4Zn3F14,5.803295163946533,[5.803295163946533, 3.1979875849060058, 3.782214193182373]
JVASP-7792,ZnAgF3,3.5730890320114135,[3.5730890320114135]
JVASP-8120,CaZnSO,0.603998689489746,[0.603998689489746, -0.8783983899780274]
JVASP-51269,ZnBSe2,-3.7197699262329103,[-3.7197699262329103]
JVASP-56314,LiZnGe,-2.8552320911117555,[-3.401782365007019, -3.1804440929122926, -2.8552320911117555]
JVASP-45318,Na6ZnS4,-0.03989157216033945,[-0.27805313603363047, -0.03989157216033945]
JVASP-13113,Tl2ZnI4,-1.173702807588196,[-2.5622213794418336, -1.173702807588196]
JVASP-7799,Ba2Zn3As2O2,-0.9483709050842286,[-1.4449057294555665, -3.317732782525635, -0.9483709050842286]
JVASP-52878,CaZnSiH2O5,2.1513486192993163,[0.983541040258789, 2.1513486192993163]
JVASP-8739,BaZnSn,-3.1778166605659486,[-3.1778166605659486, -3.1812855316825868]
JVASP-9729,SrZnO2,0.9067840860656737,[0.25778582556762686, 0.9067840860656737, -0.7473795129486085, 0.43891838057556143]
JVASP-10229,Na2ZnS2,0.542708782987976,[-1.9346226169296266, 0.542708782987976]
JVASP-21417,Sr3ZnIrO6,-2.6300258351989747,[-2.6300258351989747, -2.7265786840148927]
JVASP-8715,Ca3Zn,-2.8065294934936524,[-3.6991989328094483, -2.8065294934936524]
JVASP-58914,Sr4Zn3F14,5.803063421087646,[5.803063421087646, 3.198267965155029, 3.7820797251037597]
JVASP-58919,Na2ZnBr4,2.0970461056999206,[-0.02790138260803232, 0.6326433704666137, 2.0970461056999206, 0.7296907590202331]
JVASP-34312,Sr2UZnO6,0.9686517999938964,[-1.8212575627990724, 0.9686517999938964]
JVASP-77513,Be2ZnPt,-2.959909887475586,[-2.959909887475586]
JVASP-34217,Sr2ZnReO6,-2.3486137105651856,[-2.3486137105651856]
JVASP-78307,CaZn,-3.5683984471984864,[-3.5683984471984864]
JVASP-51412,CaZn2P2O2,-2.8596672727294923,[-3.1226501180358888, -2.8596672727294923]
JVASP-78315,CaZn,-3.1213867379852296,[-3.1213867379852296]
JVASP-76677,Mg3Zn,-3.8789360238739015,[-3.8789360238739015]
JVASP-77182,Ca2ZnPb,-3.8490905477233888,[-3.8490905477233888]
JVASP-85096,CaYZn2,-3.962516398591614,[-4.225442857904053, -3.962516398591614]
JVASP-78799,CaZn,-2.935437174005127,[-3.3851518346496583, -2.935437174005127]
JVASP-79184,Mg3Zn,-3.6153833581634522,[-3.6153833581634522]
JVASP-58154,BaZnSb4O8,-1.09828350083313,[-1.09828350083313]
JVASP-34230,Ba2ZnReO6,-3.6677283956237794,[-3.6677283956237794]
JVASP-78976,ZnAs3,-3.8678278638549806,[-3.8678278638549806]
JVASP-79480,Ca3Zn,-3.0838434411712647,[-3.0838434411712647]
JVASP-79482,CaZn,-3.7779037667938233,[-3.7779037667938233, -4.201397628945923]
JVASP-34236,BeZnO2,2.750438718634033,[0.36039832098999014, 2.750438718634033]
JVASP-9788,Na2ZnSiO4,1.2961037443450927,[1.2961037443450927, -0.8255769921966554]
JVASP-79432,Li3Zn,-3.3166172219940186,[-3.3166172219940186]
JVASP-79111,Zn3C,0.37686112387695303,[-4.048356981439209, -1.3609580709167481, 0.37686112387695303]
JVASP-9789,Na2ZnGeO4,1.0616774843505858,[-0.6966223432250978, 1.0616774843505858]
JVASP-80069,LiZn2Pd,-2.175869555635071,[-2.9909736825653077, -2.175869555635071]
JVASP-79533,ZnSiP2,-4.1113555146881104,[-4.1113555146881104]
JVASP-80504,Mg3Zn,-3.5182399465270997,[-3.5182399465270997]
JVASP-80514,CaZn,-3.7845496846862794,[-3.7845496846862794, -4.216444463891602]
JVASP-80964,Ca2ZnSn,-3.889274389905548,[-3.889274389905548]
JVASP-34459,Ba2Zn2ClF7,5.326742677526855,[2.1267955587677, 4.691468505697632, 2.7178674028686522, 5.326742677526855]
JVASP-81890,Be2ZnPt,-2.9526691152282716,[-2.9526691152282716]
JVASP-57547,LiZnPO4,2.8009467409423827,[0.587178735571289, 2.8009467409423827, 0.6962895677856444, 2.0861916826538085]
JVASP-80533,CaZn3,-3.4762243940063478,[-3.8804220868774415, -3.4762243940063478, -3.5512294484802247]
JVASP-80564,LiMgZn2,-4.158524961633301,[-4.158524961633301, -4.268806429071045]
JVASP-56787,Li2ZnGe,-3.5208713723846436,[-3.5208713723846436]
JVASP-49186,BaZnP2O7,2.977380781011963,[2.977380781011963, 1.1414070413879394]
JVASP-80742,Mg3Zn,-3.8789360238739015,[-3.8789360238739015]
JVASP-80622,Ca2ZnGe,-4.619116397065735,[-4.619116397065735]
JVASP-80994,Sr2ZnGe,-5.475045175714111,[-5.475045175714111]
JVASP-81740,Ba2ZnAg,-4.813769073648071,[-4.813769073648071]
JVASP-82091,CaYZn2,-3.962516398591614,[-4.225442857904053, -3.962516398591614]
JVASP-82096,LiZnCd2,-4.1618387414642335,[-4.1618387414642335]
JVASP-80690,Ca2ZnGa,-3.5036976052948,[-3.5036976052948]
JVASP-81355,Sr2ZnCd,-3.9831654740997315,[-3.9831654740997315]
JVASP-9795,BaNd2ZnO5,1.9059458063415526,[-2.538600893182373, 1.9059458063415526]
JVASP-36628,ZnIrO3,-3.338149757546997,[-3.338149757546997]
JVASP-36595,ZnOsO3,-4.46268460289917,[-4.46268460289917]
JVASP-81066,Ca2ZnAg,-4.566676111383057,[-4.566676111383057]
JVASP-57554,Na2AlZnF7,6.1296439455322265,[6.1296439455322265, 2.018695382910156]
JVASP-36632,ZnGeO3,-0.31083199517211924,[-0.31083199517211924]
JVASP-36633,VZnO3,-2.1802859021850587,[-2.1802859021850587]
JVASP-49197,Li6ZnO4,1.26977971060791,[-0.8264455510803224, 1.26977971060791]
JVASP-49205,ZnP4,-2.588365049523926,[-2.588365049523926, -2.6826142980285645, -2.8900072290130616, -2.860880108041382]
JVASP-35738,CaZnSe2,-1.233793468637085,[-1.233793468637085]
JVASP-81285,LiZn2Cu,-1.5735189630218507,[-4.483288498086548, -1.5735189630218507]
JVASP-57845,Na2ZnSi2O6,1.1403975771240233,[1.1403975771240233, -0.15873095528564463]
JVASP-11440,BaPr2ZnS5,-1.8698177053161622,[-3.884261102838135, -1.8698177053161622]
JVASP-11441,BaNd2ZnS5,-2.0105871869750978,[-4.089150400323486, -2.0105871869750978]
JVASP-57781,CaZnF4,3.3899586485198974,[3.3899586485198974, 1.625661640005493]
JVASP-10991,K2ZnTe2,-0.5074228955932618,[-3.0163712217041017, -0.5074228955932618]
JVASP-9362,BaV4ZnO8,-5.039580316705322,[-5.039580316705322]
JVASP-9363,BaZnFe4O8,-0.593724699182129,[-0.593724699182129]
JVASP-36415,Be2Zn,-3.8203217698760987,[-3.8203217698760987]
JVASP-9367,BaZnCr4O8,-2.965422125024414,[-2.965422125024414]
JVASP-9368,BaZnNi4O8,0.6965191648773192,[0.6965191648773192]
JVASP-22668,K4ZnAs2,-2.2997693731018067,[-2.2997693731018067]
JVASP-56446,BaZn2As2,-1.8484332277008058,[-3.668781192464447, -1.8484332277008058]
JVASP-35268,Na2Zn3S4,0.11969390376129141,[-2.033544869584656, 0.11969390376129141, -1.1369592858978272, -1.1060599996276856, -0.9592745019622804, -0.22283360497436533]
JVASP-36621,ZrZnO3,-2.5859622670837403,[-2.5859622670837403]
JVASP-35802,Ba2Zn,-3.196417660874939,[-3.196417660874939]
JVASP-56213,SrZn2,-3.203306169671631,[-3.707414598626709, -3.519905061883545, -3.203306169671631, -3.6506156636901856]
JVASP-36625,ZnSnO3,-1.964196415109253,[-1.964196415109253]
JVASP-41775,LiZnAu2,-2.4412818862625123,[-2.4412818862625123]
JVASP-21959,BaZn2Sn2,-3.0805792524047853,[-3.991173715753174, -3.810474844140625, -3.3127712918945313, -3.0805792524047853]
JVASP-55014,Li2ZnSi,-2.4027381850906373,[-2.4494456960388185, -2.439136953515625, -2.509710641069031, -2.4027381850906373]
JVASP-35130,Ca3ZnGe5O14,1.8616247461608886,[1.8616247461608886]
JVASP-42111,CaPmZn2,-2.8218296481796266,[-2.9373248531051637, -2.8218296481796266]
JVASP-23090,Sr3ZnRhO6,-2.286144704980469,[-2.3748283101745606, -2.286144704980469]
JVASP-35090,SrZnSn,-3.0979885770507813,[-3.0979885770507813, -3.43395826355896]
JVASP-40993,Sr2MnZn2As2O2,-1.8017649366088868,[-3.5702042295166017, -1.8017649366088868]
JVASP-35091,SrZnPb,-3.516223640603638,[-3.516223640603638, -3.6947977258392335]
JVASP-22868,RbBe3ZnF9,5.183499603109741,[-1.7453863336273194, 5.183499603109741]
JVASP-35462,Rb2ZnF4,4.381380348043823,[4.381380348043823]
JVASP-41206,CaAcZn2,-2.7884964658447267,[-2.7884964658447267, -3.425188036126709]
JVASP-42029,PrMgZn2,-2.7034878446289063,[-2.7034878446289063, -3.0272180749603272]
JVASP-58327,K2ZnC4N4,-3.7237400724121095,[-4.286390752954102, -3.7237400724121095]
JVASP-58135,BaTi4ZnO8,-5.778003664178467,[-5.778003664178467]
JVASP-56267,Ca3Zn2Cu2P4,-1.1450681401916505,[-2.5163988782592774, -1.1450681401916505]
JVASP-40873,CaLaZn2,-2.317765088243103,[-2.317765088243103, -3.07733521000824]
JVASP-20247,LiZn,-3.13852688805542,[-3.13852688805542, -3.246706695718384]
JVASP-58143,BaZnAg4O8,1.279160289602661,[1.279160289602661]
JVASP-26354,BaZnSO,0.01485231383361807,[-0.9041464044281007, 0.01485231383361807]
JVASP-41175,NdMgZn2,-2.7546164704986573,[-2.7546164704986573, -3.0575954629608155]
JVASP-41946,LaMgZn2,-2.298374266786194,[-2.6057980968185426, -2.298374266786194]
JVASP-58151,BaZnCu4O8,1.187011270361328,[1.187011270361328]
JVASP-39930,CaPrZn2,-2.7404479695983888,[-2.7404479695983888, -2.9603705121704103]
JVASP-40569,Ca2ZnRh,-3.635842890901184,[-3.635842890901184]
JVASP-40929,KZn4Sb3O12,2.3265133188537597,[1.2815208719543456, 2.3265133188537597, 0.7703590677551269, 0.5303564356140136]
JVASP-40350,LiZn2Pt,-1.1915204240509034,[-2.8789498521514894, -1.1915204240509034]
JVASP-39540,ZnGaO3,-0.5429906560607911,[-0.5429906560607911]
JVASP-40352,LiZn2Ir,-0.5010916902252198,[-2.0460548116394044, -0.5010916902252198]
JVASP-39831,LiZn3,-3.5511634065338136,[-3.709156723184204, -3.5511634065338136, -3.837149353189087]
JVASP-39799,Li2ZnAu,-4.041214199227905,[-4.041214199227905]
JVASP-39836,LiZn2Rh,-1.203628869218445,[-2.0250247432418824, -1.203628869218445]
JVASP-39963,CaSmZn2,-2.697918625039673,[-2.961416454476929, -2.697918625039673]
JVASP-13814,BaZnBi2,-2.923677058381653,[-4.169815631074524, -2.923677058381653]
JVASP-40242,RbZnH2Se2ClO6,-0.6651470376678468,[-0.8547136499114991, -0.6651470376678468]
JVASP-56286,LiZnP,-2.899425120515442,[-2.899425120515442]
JVASP-39579,Zn3C,-0.5028745843597413,[-3.777975530786133, -2.2404572679229737, -0.5028745843597413]
JVASP-38275,RbZn4P3,-0.3030487014480592,[-3.472836108369446, -1.6901104165740968, -1.815371484918213, -0.3030487014480592]
JVASP-38277,RbZn4As3,-1.417751879853821,[-3.584360809487915, -2.31540152565918, -2.170094819230652, -1.417751879853821]
JVASP-15915,Mg3ZnC,-3.731518180532074,[-3.731518180532074]
JVASP-26654,K2ZnSi2O6,2.4227867410949706,[2.4227867410949706, -0.22810170189819345]
JVASP-16570,Li2ZnSn,-3.580203027886963,[-3.580203027886963]
JVASP-36583,HfZnO3,-2.549833746118164,[-2.549833746118164]
JVASP-16744,CaZn2Si2,-2.01708552376709,[-4.224375696343994, -2.01708552376709]
JVASP-37911,Ba2TlZn,-3.0610866262145997,[-3.0610866262145997]
JVASP-38190,Rb3Zn,-4.434659691018677,[-4.434659691018677]
JVASP-40092,CaNdZn2,-2.811648817224121,[-2.811648817224121, -2.861335725946045]
JVASP-21774,SrZnSb2,-1.4978881789871217,[-4.407255740327454, -4.341953845185852, -1.4978881789871217, -2.353681655091858]
JVASP-2751,SrZn2P2,-1.8949367715545655,[-2.396144361657715, -1.8949367715545655]
JVASP-10102,Ba3Nb2ZnO9,-0.29354760186157236,[-0.29354760186157236]
JVASP-53253,Mn3ZnC,-2.8106636716552735,[-2.8106636716552735]
JVASP-77196,Ba2ZnAg,-5.438208789987183,[-5.438208789987183]
JVASP-11680,Sr2ZnMoO6,-2.4269098951049806,[-2.4269098951049806]
JVASP-38580,Li3Zn,-2.7200106097885133,[-2.7200106097885133]
JVASP-35214,Na2ZnSe2,-0.1941444589324952,[-2.285227031869507, -0.1941444589324952]
JVASP-38755,ThMgZn2,-1.8273749067016603,[-2.7058270885177613, -1.8273749067016603]
JVASP-35260,Na6ZnSe4,-0.8561004115768434,[-1.4783492995925904, -0.8561004115768434]
JVASP-37333,SrAcZn2,-2.662597508592224,[-2.662597508592224, -3.6640020324417115]
JVASP-35261,Na2Zn2Se3,-0.43780741230926523,[-2.9310162975021363, -2.212322325868225, -0.7968711568542481, -1.734619589013672, -0.43780741230926523, -1.2171870185562135, -1.2653129412361146, -0.5435468270011903]
JVASP-35262,Na2Zn3Se4,-0.9886334253974915,[-2.5634704543777467, -1.231354446572876, -2.1756490780540467, -1.4885412766166688, -1.392191918058014, -0.9886334253974915]
JVASP-35263,Na2Zn2Se3,-0.005517096681213474,[-2.7279641939826966, -2.1896118237205506, -1.1295467330642701, -1.7160688354202271, -0.9962532235809327, -1.2480106069274903, -1.0041790916152955, -0.005517096681213474]
JVASP-35264,Na2ZnSe2,-0.5530299855895997,[-2.48233267800293, -0.5530299855895997, -1.3510657264419557, -0.8483451320358277]
JVASP-37932,Ba2ZnCd,-2.904741258782959,[-2.904741258782959]
JVASP-35267,Na2ZnS2,0.49226763709106436,[-1.864441366357422, 0.49226763709106436, -0.4442653371520997, 0.49128725989379873]
JVASP-37873,BeZnO3,-0.6255640699096681,[-0.6255640699096681]
JVASP-45756,Na3ZnPCO7,2.1808920191101073,[0.6247329996398925, 2.1808920191101073]
JVASP-36988,TlZnF3,3.146394996481323,[3.146394996481323]
JVASP-46759,Li3ZnPCO7,1.4086318300537108,[-0.2852711393066407, 1.4086318300537108]
JVASP-34410,Na2Zn2O3,2.6105709360412597,[-0.8196057988830567, 1.921318082647705, 0.6461205766967772, 0.8909516619018554, 0.1015274809173583, 0.43472316725769033, 1.2951474474243163, 2.6105709360412597]
JVASP-12540,K2ZnBr4,0.00028529627838125293,[0.00028529627838125293, -0.009806604547119235]
JVASP-44649,LiZnFe4O8,-1.7196082784362794,[-1.7196082784362794]
JVASP-77362,BaSrZn2,-3.352591486138916,[-3.352591486138916, -3.5686504556365968]
JVASP-9294,BaZnBi4O8,0.8547191904357909,[0.8547191904357909]
JVASP-55675,BaZnCl4,2.226024179296875,[0.7707784460357665, 2.226024179296875, -0.5144030763336183, -0.1808685971923829]
JVASP-8203,Sr2ZnCu2S2O2,-1.129850359124756,[-1.129850359124756]
JVASP-12478,SrZnCl4,0.914179353552246,[0.914179353552246, 0.6076236055664062]
JVASP-9587,BaZnO2,1.1708634184173583,[-0.3760111047454835, 0.5963681028656005, 1.1708634184173583]
JVASP-65027,BeZnSb4,-3.7180571271606446,[-3.7180571271606446]
JVASP-9382,K3Zn2F7,4.63513091071167,[4.63513091071167, 4.225702314215088]
JVASP-12535,K2ZnBr4,-0.09234485165557871,[-0.09234485165557871, -0.18706676499328623]
JVASP-76948,LiZn2Cu,-1.5709931565948487,[-4.483683796090698, -1.5709931565948487]
JVASP-54929,Ca2Zn2CuP3,-1.2328351451583863,[-2.6981479837127686, -2.6772930337615968, -1.2328351451583863, -1.5670777274795533]
JVASP-27488,Sr3ZnPtO6,-1.8770980550476075,[-2.3002929403015138, -1.8770980550476075]
JVASP-34694,Li3Zn2SbO6,0.7929263399414062,[-0.2892851545043946, 0.7929263399414062]
JVASP-9444,BaZnF4,3.9279718683532714,[3.835666684942627, 3.9279718683532714]
JVASP-10775,BaZnCO3F2,1.5261726663879394,[0.8649292276672362, 1.5261726663879394]
JVASP-41089,LiMg2Zn,-2.884932727975464,[-2.884932727975464]
JVASP-37798,LiPmZn2,-2.852598996324158,[-2.9259293986984254, -2.852598996324158]
JVASP-44558,K3ZnPCO7,0.9435758875183105,[-0.23298642174682627, 0.9435758875183105]
JVASP-27483,CaZnSi2O6,2.1863999651245116,[2.1863999651245116, -0.14080283181152353]
JVASP-9296,BaZnSn4O8,-1.1597549630828858,[-1.1597549630828858]
JVASP-10213,Li2ZnGeO4,0.16124036772766104,[-0.32897874848327646, 0.16124036772766104]
JVASP-12905,K2Zn3O4,4.505855946379089,[0.0017798231414793975, 1.2486923025421142, 1.2102047489456176, 0.46018686755218496, 1.3660909221939086, 4.505855946379089]
JVASP-9860,ZnMo2O5,-4.546944589776611,[-4.914047212762451, -4.546944589776611]
JVASP-10205,Na2Zn2O3,1.6020169542602538,[0.6843905733398437, -0.13034150139770517, 0.9535484598449706, 1.6020169542602538]
JVASP-20517,LiZn,-3.13852688805542,[-3.13852688805542, -3.246706695718384]
JVASP-19953,CaZn5,-2.6606607152648927,[-4.068003626031494, -3.5533413602539063, -2.6606607152648927, -3.837686510247803, -4.418386907739258]
JVASP-21995,BaZn2Sb2,-2.091599078340149,[-4.302973957223511, -3.7338926507659913, -3.8947167708106996, -3.307527930898285, -2.279046507043457, -2.5361609174438478, -2.091599078340149, -2.1296599818893434]
JVASP-65106,BeZnSi4,-4.210570068521118,[-4.210570068521118]
JVASP-91850,SrZnBi2,-2.6203730417915345,[-4.181056292218781, -2.6203730417915345]
JVASP-65029,BeZnW4,-2.4984941198059083,[-2.4984941198059083]
JVASP-19947,CaZn2,-3.068305702371216,[-3.6290843202301026, -3.4514558030792237, -3.068305702371216, -3.5291130258270265]
JVASP-22127,NaZr2ZnF11,4.406331090765381,[4.406331090765381]
JVASP-22879,Li2ZnSiO4,1.7665643976501464,[1.7665643976501464, 0.4294958399108886, -0.2141327573486329, -0.26916262642822275]
JVASP-109025,BaZnO3,1.492722301321411,[1.492722301321411]
JVASP-109026,Ca2ZnGa,-2.9582884027191163,[-2.9582884027191163]
JVASP-109931,CaHoZn2,-2.688605160874939,[-2.688605160874939, -2.9774130298324586]
JVASP-108570,LiZnSb,-2.369523198766327,[-2.369523198766327]
JVASP-26772,Rb2ZnO2,2.6852759407333373,[-1.037724704904175, -0.5060684396453858, 2.6852759407333373, -0.02825960652313242, 1.0754189775756835, 1.7333898828796386, 1.5392240570358275, 2.2778855846694945]
JVASP-108644,LiPrZn2,-2.6780056668945313,[-2.6780056668945313, -2.8683074428268434]
JVASP-20805,Ca5Zn3,-2.1677154018112184,[-3.5563912107177735, -3.6749140931793214, -3.297297091645813, -3.5191956474014283, -2.692722649736023, -2.1677154018112184]
JVASP-110274,Ca4ZnAg3,-3.577856631440735,[-3.577856631440735]
JVASP-17385,CaZnSi,-2.3910647346206666,[-2.3910647346206666, -2.9037943793960572]
JVASP-110237,K2Zn3SiAs4,-2.5468744947143556,[-4.172450394792175, -2.7919383956619264, -2.5468744947143556]
JVASP-17274,CaZn2Ge2,-2.6167438341804505,[-4.307907910508728, -2.6167438341804505]
JVASP-20124,MgZn2,-3.0516028119750978,[-3.860816450280762, -3.777186842126465, -3.669220657510376, -3.6187689019866944, -3.0516028119750978, -3.431544752282715, -3.8606652929016114, -3.8133115483947755]
JVASP-110202,NaLiZnS2,-0.3838405324645997,[-0.3838405324645997]
JVASP-109626,Ba2ZnOsO6,-2.3284811689086915,[-2.3284811689086915]
JVASP-109415,BaZnIn3,-3.9147326661773683,[-3.9147326661773683]
JVASP-110217,Li4ZnCd3,-3.669260711831665,[-3.669260711831665]
JVASP-110109,Li2ZnPb,-3.1361933662124635,[-3.1361933662124635]
JVASP-110010,Na3Zn,-3.928906412286377,[-3.928906412286377, -4.1986922933288575]
JVASP-109597,Sr3Zn,-3.482541771096802,[-3.482541771096802]
JVASP-55270,Ca2ZnGe2O7,1.9158196733764647,[1.3198552416137694, 1.9158196733764647]
JVASP-109344,MgZn2Sb2,-2.5571976615615846,[-3.811043591661072, -2.5571976615615846]
JVASP-109800,K2ZnSe2,0.1565046594909667,[-2.4543122960754395, 0.1565046594909667]
JVASP-21444,Be3Zn4Si3SO12,5.647016553717041,[-2.1052045537658692, 5.647016553717041, 1.7943730638793944, -0.16215178505859384, -0.6274294568725587, 0.4076037691406249, 1.142645864324951, 3.2284670160583495]
JVASP-109929,Ca2ZnSn,-3.889168770475006,[-3.889168770475006]
JVASP-27337,Rb3ZnBr5,1.2762748883537292,[-0.50948396460495, 1.2762748883537292, 0.6946330951026916, -0.044037373227691745]
JVASP-108756,Li2ZnCu3,-3.4424887611099244,[-3.4424887611099244]
JVASP-108890,Sr2ZnPt,-3.6651162816711427,[-3.6651162816711427]
JVASP-16664,BaZnGe,-3.1001539541908265,[-3.1001539541908265, -3.1295975758262635]
